Timestamp,"If you consent to taking this survey, please select 'Yes'",What is your gender?,What is your age?,Please rate the your experience of watching Video #1 based on the scale below.,Please rate the your experience of watching Video #2 based on the scale below.,Please rate your experience of watching Video #2 in comparison to Video #1.,"If you experienced any quality issues with the videos (e.g., jitter, pauses) or would like to describe your experience, please write below. Please also mention the specific video."
6/24/2021 0:52:20,Yes,Male,22,4,4,4,
6/24/2021 0:52:41,Yes,Male,22,4,2,2,There was a significant amount of pauses in video number 2
6/24/2021 0:59:29,Yes,Female,20,2,2,5,
6/24/2021 1:00:07,Yes,Female,23,3,1,2,Video #2 seemed to lag a lot more than Video #1 and had longer pauses that made it more difficult to watch.
6/24/2021 1:05:32,Yes,Male,22,3,1,2,"I noticed very little jittering in the first video . However, the second video had a lot more jittering and several pauses, which adversely affected the experience."
6/24/2021 1:05:46,Yes,Male,20,3,1,2,Video #2 had a lot of jitter.
6/24/2021 1:07:36,Yes,Female,21,3,4,3,
6/24/2021 1:11:01,Yes,Male,22,4,3,2,The video was lagging at some point which felt like small pauses time to time
6/24/2021 1:14:33,Yes,Male,21,3,1,1,Video 1 had alot more pauses and noticeable differences in frame rate and overall video progression.
6/24/2021 1:22:05,Yes,Male,22,3,2,2,"yes there were some frame drops in both of the videos, but in the video 2 the frame drops in the timelapse were pretty evident."
6/24/2021 1:22:43,Yes,Male,22,3,2,2,"yes there were some frame drops in both of the videos, but in the video 2 the frame drops in the timelapse were pretty evident."
6/24/2021 1:31:09,Yes,Male,23,2,2,4,too many jitters and pauses. the quality was terrible and that made it annoying.
6/24/2021 1:43:37,Yes,Female,21,3,2,2,Video 2 had visible jitters. I would probably not watch a video if it’s like that. 
6/24/2021 1:44:46,Yes,Female,22,4,2,2,
6/24/2021 2:22:50,Yes,Male,21,3,2,3,The second video kept getting stuck at certain frames.
6/24/2021 2:35:08,No,Male,21,1,1,5,Both
6/24/2021 2:48:44,Yes,Male,18,3,2,4,"Video 2 seemingly had the same resolution for every frame as video 1. However, there were more pauses in video 2 or the frame rate in video 2 was lesser as compared to video 1. However, the difference between them was noticeable but not much since video 1 also had a low frame rate than typical present day videos."
6/24/2021 2:54:09,Yes,Female,20,3,2,3,
6/24/2021 3:28:22,Yes,Female,20,4,3,2,
6/24/2021 3:55:09,Yes,Male,20,3,2,3,Both videos were glitchy (Video #1 was slightly glitchy). Audio would have made them much better. The timelapse provided no narrative/purpose to the video. What I understood is it is a timelapse of Dubai (fun activities to do/explore in Dubai)
6/24/2021 5:08:17,Yes,Male,20,3,1,1,"Yes, in the first video there were jitter pauses but only in the start. As the video progressed it became smooth but the second one was unbearable in contrast to first one."
6/24/2021 8:49:20,Yes,Male,19,4,1,1,
6/24/2021 9:30:58,Yes,Male,19,5,5,3,
6/24/2021 9:35:34,Yes,Female,19,4,2,1,Video 2 had some frames missing and felt as if it was lagging persistently.
6/24/2021 10:04:38,Yes,Male,22,4,1,2,"The second video was very laggy. Also, the image quality felt a lot pixelated. "
6/24/2021 10:10:15,Yes,Male,24,3,4,3,
6/24/2021 10:13:28,Yes,Male,21,4,4,4,. 
6/24/2021 10:22:29,Yes,Male,23,2,4,4,"The second video was quite satisfying 
Personally for me "
6/24/2021 12:39:53,Yes,Male,21,3,3,4,"Video 2 seemed to have more pauses and low frame rate at times, even though they're the same length."
6/24/2021 12:44:10,Yes,Male,19,4,3,4,"jitter pauses, lag"
6/24/2021 13:26:29,Yes,Female,22,3,4,4,the resolution could be improved:)
6/24/2021 15:28:05,Yes,Male,21,2,1,1,"Video 1 had jitters and pauses every few seconds
Video 2 had skips and was much worse overall "
6/24/2021 15:35:22,Yes,Male,22,3,3,3,Second video was jittering in the beginning.
6/24/2021 15:36:48,Yes,Male,22,3,1,1,
6/24/2021 16:14:06,Yes,Male,21,4,2,2,
6/24/2021 16:33:14,Yes,Male,22,4,1,1,In video 2 the quality was not very bad as compared to video 1 but there were lagging and buffering in video 2 which was very annoying. 
6/24/2021 17:24:24,Yes,Male,22,2,2,1,Annoying 
6/24/2021 17:38:03,Yes,Male,22,2,1,1,
6/24/2021 17:59:40,Yes,Male,21,2,1,1,Lots of freeze frames in video 2
6/24/2021 18:11:27,Yes,Female,20,4,2,2,Video 2 was similar to the glitchy picture-slideshow kind of video in zoom screen share. Video 1 was not great either but a bit better maybe.
6/24/2021 19:19:34,Yes,Male,21,4,2,2,"The second video was much slower in playing. When it first stopped, I thought the video had paused due to an internet issue. "
6/25/2021 13:23:20,Yes,Male,22,4,2,2,Video 1 was not perfectly smooth but video 2 was horrible. It was extremely jittery and led to a nauseating and annoying feeling. 
6/25/2021 17:58:37,Yes,Male,22,2,2,1,Annoying 
6/26/2021 0:50:08,Yes,Male,19,2,3,5,
6/26/2021 11:11:14,Yes,Male,20,3,3,3,the ones with bad quality and the ones that jitter quite alot its hard to see whats actually going on.
6/26/2021 19:42:35,Yes,Male,23,4,4,3,
6/26/2021 21:36:31,Yes,Male,23,2,1,1,"Both the videos were jittering though in comparison to video 1, video 2 paused more often therefore it was more annoying for me to watch. "
6/27/2021 3:04:58,Yes,Male,25,4,1,1,
6/27/2021 3:05:14,Yes,Male,25,4,1,1,
6/27/2021 8:20:16,Yes,Male,25,4,1,1,
6/27/2021 13:02:39,Yes,Male,21,5,3,2,In video 2 there were a lot of pauses and jitters. 
6/27/2021 15:09:50,Yes,Female,19,5,3,3,The second video had quite a few pauses. 
6/28/2021 6:37:38,Yes,Male,27,4,2,2,"jitter, pauses in video 2"
6/29/2021 7:36:25,Yes,Male,20,3,1,1,Experienced many pauses in Video#2
6/29/2021 14:14:04,Yes,Male,22,3,1,1,Video 2 was traumatizing. The video lagged despite it being fully loaded which increased my blood pressure
